,StockName,MAE,MAPE,RMSE,AdjustedR2,Noise
BOM524715,SUN PHARMACEUTICAL INDUSTRIES LTD. ,6.967935692180287,0.015264316584148346,9.349832452230663,0.9810508407331525,6.441856884893783
BOM532488,DIVI'S LABORATORIES LTD. ,12.471407369288002,0.01233158611249672,19.77428924951028,0.9933972300813295,32.32309672838747
BOM500124,DR.REDDY'S LABORATORIES LTD. ,31.18648623181628,0.011434778652600789,40.884413935523014,0.9883630392141487,39.95700433686024
BOM500180,HDFC Bank Ltd ,11.412682657117967,0.015700553125787668,31.773431502777953,0.9902666806659715,13.985646005064796
BOM532174,ICICI BANK LTD. ,8.22037579763938,0.04106984099153634,10.055293674922124,0.9639045141965589,6.708942483416379
BOM500247,KOTAK MAHINDRA BANK LTD. ,8.21580020776776,0.014111636906666962,12.353465010148371,0.9885276160944163,20.1717788816437
BOM500470,TATA STEEL LTD. ,5.487967893022914,0.01593806976187369,7.967524255200005,0.9959226346189441,6.57681106206939
BOM500228,,,,,,
BOM500440,HINDALCO INDUSTRIES LTD. ,2.5371018075323724,0.01931176582365515,3.552580747127,0.9946523096416362,3.264525446053252
BOM532977,BAJAJ AUTO LTD. ,25.831939697265625,0.013669629982131667,35.85243499020063,0.9895857697027772,27.883971046587927
BOM500570,TATA MOTORS LTD. ,4.124944028508883,0.027545250826654957,6.008651107605251,0.9956122490708292,2.871547949282829
BOM532500,MARUTI SUZUKI INDIA LTD. ,63.91062900676063,0.014402930988080867,91.57309997599071,0.983213196229707,61.09557112245735
BOM500209,INFOSYS LTD. ,27.46454249582141,0.06624647515208738,36.46778838280928,0.933458587294705,12.0404953042979
BOM532540,TATA CONSULTANCY SERVICES LTD. ,21.967412392015557,0.013693942016511775,60.809023408772525,0.9917174636235614,19.454148340100065
BOM507685,WIPRO LTD. ,9.440372826217057,0.04945767547182843,12.950222493177659,0.9739881177630287,4.922563287529733
